student_id,student_country,date_registered,purchase_id,purchase_type,date_purchased,paid,active_purchase,potential_stay
259011,GB,2022-01-02,,,,"(False, False)",False,False
259012,SA,2022-01-02,,,,"(False, False)",False,False
259013,SA,2022-01-02,,,,"(False, False)",False,False
259014,FR,2022-01-02,,,,"(False, False)",False,False
259015,SA,2022-01-02,,,,"(False, False)",False,False
259016,DE,2022-01-02,,,,"(False, False)",False,False
259017,EG,2022-01-02,,,,"(False, False)",False,False
259018,IN,2022-01-02,,,,"(False, False)",False,False
259019,PK,2022-01-02,,,,"(False, False)",False,False
259020,UA,2022-01-02,,,,"(False, False)",False,False
259021,IN,2022-01-02,,,,"(False, False)",False,False
259022,SA,2022-01-02,,,,"(False, False)",False,False
259023,QA,2022-01-02,,,,"(False, False)",False,False
259024,EG,2022-01-02,,,,"(False, False)",False,False
259025,GB,2022-01-02,,,,"(False, False)",False,False
259026,GB,2022-01-02,19053.0,Monthly,2022-05-04,"(False, False)",False,False
259027,US,2022-01-02,,,,"(False, False)",False,False
259028,SA,2022-01-02,15863.0,Monthly,2022-01-04,"(False, False)",False,False
259029,MA,2022-01-02,,,,"(False, False)",False,False
259030,EG,2022-01-02,,,,"(False, False)",False,False
259031,IT,2022-01-02,,,,"(False, False)",False,False
259032,MY,2022-01-02,,,,"(False, False)",False,False
259033,EG,2022-01-02,,,,"(False, False)",False,False
259034,NG,2022-01-02,,,,"(False, False)",False,False
259035,IQ,2022-01-02,,,,"(False, False)",False,False
259036,EG,2022-01-02,,,,"(False, False)",False,False
259037,CA,2022-01-02,,,,"(False, False)",False,False
259038,GH,2022-01-02,,,,"(False, False)",False,False
259039,US,2022-01-02,19026.0,Monthly,2022-05-02,"(False, False)",False,False
259040,EG,2022-01-02,,,,"(False, False)",False,False
259041,CA,2022-01-02,,,,"(False, False)",False,False
259042,EG,2022-01-02,,,,"(False, False)",False,False
259043,CO,2022-01-02,,,,"(False, False)",False,False
259044,MA,2022-01-02,,,,"(False, False)",False,False
259045,AT,2022-01-02,,,,"(False, False)",False,False
259046,PK,2022-01-02,,,,"(False, False)",False,False
259047,CA,2022-01-02,,,,"(False, False)",False,False
259048,FI,2022-01-02,,,,"(False, False)",False,False
259049,CM,2022-01-02,,,,"(False, False)",False,False
259050,RU,2022-01-02,,,,"(False, False)",False,False
259051,US,2022-01-02,,,,"(False, False)",False,False
259052,GT,2022-01-02,,,,"(False, False)",False,False
259053,FR,2022-01-03,,,,"(False, False)",False,False
259054,US,2022-01-03,16547.0,Annual,2022-01-27,"(True, True)",True,True
259055,IN,2022-01-03,,,,"(False, False)",False,False
259056,CA,2022-01-03,,,,"(False, False)",False,False
259057,IN,2022-01-03,,,,"(False, False)",False,False
259058,BR,2022-01-03,,,,"(False, False)",False,False
259059,AU,2022-01-03,,,,"(False, False)",False,False
259060,US,2022-01-03,,,,"(False, False)",False,False
259061,MA,2022-01-03,,,,"(False, False)",False,False
259062,US,2022-01-03,,,,"(False, False)",False,False
259063,US,2022-01-03,,,,"(False, False)",False,False
259064,HK,2022-01-03,,,,"(False, False)",False,False
259065,IN,2022-01-03,,,,"(False, False)",False,False
259066,SE,2022-01-03,,,,"(False, False)",False,False
259067,SG,2022-01-03,,,,"(False, False)",False,False
259068,SA,2022-01-03,,,,"(False, False)",False,False
259069,SN,2022-01-03,,,,"(False, False)",False,False
259070,US,2022-01-03,16974.0,Annual,2022-01-03,"(True, True)",True,True
259071,GT,2022-01-03,,,,"(False, False)",False,False
259072,SA,2022-01-03,,,,"(False, False)",False,False
259073,HK,2022-01-03,,,,"(False, False)",False,False
259074,IN,2022-01-03,,,,"(False, False)",False,False
259075,IN,2022-01-03,,,,"(False, False)",False,False
259076,EG,2022-01-03,,,,"(False, False)",False,False
259077,IN,2022-01-03,,,,"(False, False)",False,False
259078,SA,2022-01-03,,,,"(False, False)",False,False
259079,IN,2022-01-03,,,,"(False, False)",False,False
259080,NG,2022-01-03,,,,"(False, False)",False,False
259081,ID,2022-01-03,,,,"(False, False)",False,False
259082,IN,2022-01-03,,,,"(False, False)",False,False
259083,TZ,2022-01-03,,,,"(False, False)",False,False
259084,OM,2022-01-03,,,,"(False, False)",False,False
259085,IN,2022-01-03,,,,"(False, False)",False,False
259086,IN,2022-01-03,,,,"(False, False)",False,False
259088,IN,2022-01-03,,,,"(False, False)",False,False
259089,IN,2022-01-03,,,,"(False, False)",False,False
259090,IN,2022-01-03,,,,"(False, False)",False,False
259091,CN,2022-01-03,,,,"(False, False)",False,False
259092,VN,2022-01-03,,,,"(False, False)",False,False
259093,EG,2022-01-03,,,,"(False, False)",False,False
259094,IN,2022-01-03,,,,"(False, False)",False,False
259095,IN,2022-01-03,,,,"(False, False)",False,False
259096,IN,2022-01-03,,,,"(False, False)",False,False
259097,HU,2022-01-03,,,,"(False, False)",False,False
259098,IN,2022-01-03,,,,"(False, False)",False,False
259099,US,2022-01-03,,,,"(False, False)",False,False
259100,LB,2022-01-03,,,,"(False, False)",False,False
259101,AU,2022-01-03,,,,"(False, False)",False,False
259102,PK,2022-01-03,,,,"(False, False)",False,False
259103,IN,2022-01-03,,,,"(False, False)",False,False
259104,MA,2022-01-03,,,,"(False, False)",False,False
259105,KE,2022-01-03,,,,"(False, False)",False,False
259106,GB,2022-01-03,15844.0,Annual,2022-01-03,"(True, True)",True,True
259107,BD,2022-01-03,,,,"(False, False)",False,False
259108,IN,2022-01-03,,,,"(False, False)",False,False
259109,DZ,2022-01-03,,,,"(False, False)",False,False
259110,US,2022-01-03,,,,"(False, False)",False,False
259111,IN,2022-01-03,,,,"(False, False)",False,False
259112,IN,2022-01-03,,,,"(False, False)",False,False
259113,MA,2022-01-03,,,,"(False, False)",False,False
259114,SO,2022-01-03,,,,"(False, False)",False,False
259115,NG,2022-01-03,,,,"(False, False)",False,False
259116,BE,2022-01-03,,,,"(False, False)",False,False
259117,BW,2022-01-03,,,,"(False, False)",False,False
259118,ZA,2022-01-03,,,,"(False, False)",False,False
259119,US,2022-01-03,,,,"(False, False)",False,False
259120,IN,2022-01-03,,,,"(False, False)",False,False
259121,IN,2022-01-03,,,,"(False, False)",False,False
259122,NG,2022-01-03,,,,"(False, False)",False,False
259123,IN,2022-01-03,,,,"(False, False)",False,False
259124,DZ,2022-01-03,,,,"(False, False)",False,False
259125,IN,2022-01-03,,,,"(False, False)",False,False
259126,RW,2022-01-03,,,,"(False, False)",False,False
259127,US,2022-01-03,,,,"(False, False)",False,False
259129,IN,2022-01-03,,,,"(False, False)",False,False
259130,US,2022-01-03,,,,"(False, False)",False,False
259131,IL,2022-01-03,,,,"(False, False)",False,False
259132,AZ,2022-01-03,,,,"(False, False)",False,False
259133,RW,2022-01-03,,,,"(False, False)",False,False
259134,SE,2022-01-03,,,,"(False, False)",False,False
259135,US,2022-01-03,,,,"(False, False)",False,False
259136,EG,2022-01-03,,,,"(False, False)",False,False
259137,CA,2022-01-03,,,,"(False, False)",False,False
259138,GH,2022-01-03,,,,"(False, False)",False,False
259139,US,2022-01-03,,,,"(False, False)",False,False
259140,LT,2022-01-03,,,,"(False, False)",False,False
259141,US,2022-01-03,,,,"(False, False)",False,False
259142,US,2022-01-03,,,,"(False, False)",False,False
259143,PK,2022-01-03,,,,"(False, False)",False,False
259144,KZ,2022-01-03,,,,"(False, False)",False,False
259145,AZ,2022-01-03,,,,"(False, False)",False,False
259146,IN,2022-01-03,,,,"(False, False)",False,False
259147,NG,2022-01-03,,,,"(False, False)",False,False
259149,MA,2022-01-03,,,,"(False, False)",False,False
259150,NL,2022-01-03,,,,"(False, False)",False,False
259151,US,2022-01-03,,,,"(False, False)",False,False
259152,TN,2022-01-03,,,,"(False, False)",False,False
259153,NG,2022-01-03,,,,"(False, False)",False,False
259154,NG,2022-01-03,,,,"(False, False)",False,False
259155,US,2022-01-03,,,,"(False, False)",False,False
259156,EG,2022-01-03,,,,"(False, False)",False,False
259157,NL,2022-01-03,,,,"(False, False)",False,False
259158,EG,2022-01-03,,,,"(False, False)",False,False
259159,EG,2022-01-03,,,,"(False, False)",False,False
259160,ZW,2022-01-03,,,,"(False, False)",False,False
259161,US,2022-01-03,,,,"(False, False)",False,False
259162,CR,2022-01-03,,,,"(False, False)",False,False
259163,SA,2022-01-03,,,,"(False, False)",False,False
259164,EG,2022-01-03,,,,"(False, False)",False,False
259165,JM,2022-01-03,,,,"(False, False)",False,False
259166,IN,2022-01-03,,,,"(False, False)",False,False
259167,RW,2022-01-03,,,,"(False, False)",False,False
259168,IN,2022-01-04,,,,"(False, False)",False,False
259169,US,2022-01-04,,,,"(False, False)",False,False
259170,US,2022-01-04,,,,"(False, False)",False,False
259171,US,2022-01-04,16459.0,Quarterly,2022-01-25,"(False, False)",False,False
259172,IN,2022-01-04,,,,"(False, False)",False,False
259173,IN,2022-01-04,,,,"(False, False)",False,False
259174,CA,2022-01-04,15905.0,Annual,2022-01-07,"(True, True)",True,True
259175,JP,2022-01-04,,,,"(False, False)",False,False
259176,CA,2022-01-04,,,,"(False, False)",False,False
259177,TT,2022-01-04,,,,"(False, False)",False,False
259178,IN,2022-01-04,,,,"(False, False)",False,False
259180,IN,2022-01-04,,,,"(False, False)",False,False
259181,IN,2022-01-04,,,,"(False, False)",False,False
259182,US,2022-01-04,,,,"(False, False)",False,False
259183,IN,2022-01-04,,,,"(False, False)",False,False
259184,IN,2022-01-04,,,,"(False, False)",False,False
259185,CO,2022-01-04,,,,"(False, False)",False,False
259186,CA,2022-01-04,,,,"(False, False)",False,False
259187,ID,2022-01-04,,,,"(False, False)",False,False
259188,IN,2022-01-04,,,,"(False, False)",False,False
259189,IN,2022-01-04,,,,"(False, False)",False,False
259190,US,2022-01-04,20904.0,Annual,2022-07-18,"(True, True)",True,True
259191,AR,2022-01-04,,,,"(False, False)",False,False
259192,ES,2022-01-04,,,,"(False, False)",False,False
259193,IN,2022-01-04,,,,"(False, False)",False,False
259194,EG,2022-01-04,,,,"(False, False)",False,False
259195,PK,2022-01-04,,,,"(False, False)",False,False
259196,CA,2022-01-04,,,,"(False, False)",False,False
259198,IN,2022-01-04,,,,"(False, False)",False,False
259199,IN,2022-01-04,,,,"(False, False)",False,False
259200,IN,2022-01-04,,,,"(False, False)",False,False
259201,IN,2022-01-04,,,,"(False, False)",False,False
259202,TR,2022-01-04,,,,"(False, False)",False,False
259203,NG,2022-01-04,,,,"(False, False)",False,False
259204,EG,2022-01-04,,,,"(False, False)",False,False
259205,PK,2022-01-04,,,,"(False, False)",False,False
259206,IN,2022-01-04,,,,"(False, False)",False,False
259207,IN,2022-01-04,,,,"(False, False)",False,False
259208,NG,2022-01-04,,,,"(False, False)",False,False
259209,ES,2022-01-04,15853.0,Annual,2022-01-04,"(True, True)",True,True
259210,CA,2022-01-04,,,,"(False, False)",False,False
259211,PH,2022-01-04,,,,"(False, False)",False,False
259212,US,2022-01-04,,,,"(False, False)",False,False
259213,AU,2022-01-04,,,,"(False, False)",False,False
259214,VN,2022-01-04,,,,"(False, False)",False,False
259215,ZA,2022-01-04,,,,"(False, False)",False,False
259216,NG,2022-01-04,,,,"(False, False)",False,False
259217,IN,2022-01-04,,,,"(False, False)",False,False
259218,IN,2022-01-04,,,,"(False, False)",False,False
259219,IN,2022-01-04,,,,"(False, False)",False,False
259220,EG,2022-01-04,,,,"(False, False)",False,False
259221,GB,2022-01-04,,,,"(False, False)",False,False
259222,IN,2022-01-04,,,,"(False, False)",False,False
259223,BD,2022-01-04,,,,"(False, False)",False,False
259224,IQ,2022-01-04,,,,"(False, False)",False,False
259225,KE,2022-01-04,,,,"(False, False)",False,False
259226,MU,2022-01-04,,,,"(False, False)",False,False
259227,IN,2022-01-04,,,,"(False, False)",False,False
259228,TN,2022-01-04,,,,"(False, False)",False,False
259229,IN,2022-01-04,,,,"(False, False)",False,False
259230,KZ,2022-01-04,,,,"(False, False)",False,False
259231,US,2022-01-04,,,,"(False, False)",False,False
259232,SK,2022-01-04,,,,"(False, False)",False,False
259233,NZ,2022-01-04,,,,"(False, False)",False,False
259234,EG,2022-01-04,,,,"(False, False)",False,False
259235,IN,2022-01-04,,,,"(False, False)",False,False
259236,US,2022-01-04,,,,"(False, False)",False,False
259237,IN,2022-01-04,,,,"(False, False)",False,False
259238,IL,2022-01-04,,,,"(False, False)",False,False
259239,BD,2022-01-04,,,,"(False, False)",False,False
259240,SG,2022-01-04,,,,"(False, False)",False,False
259241,IN,2022-01-04,,,,"(False, False)",False,False
259242,AR,2022-01-04,,,,"(False, False)",False,False
259243,IN,2022-01-04,,,,"(False, False)",False,False
259244,EG,2022-01-04,,,,"(False, False)",False,False
259245,IN,2022-01-04,,,,"(False, False)",False,False
259246,US,2022-01-04,,,,"(False, False)",False,False
259247,AE,2022-01-04,,,,"(False, False)",False,False
259248,EG,2022-01-04,,,,"(False, False)",False,False
259249,CY,2022-01-04,,,,"(False, False)",False,False
259250,IN,2022-01-04,,,,"(False, False)",False,False
259251,FR,2022-01-04,,,,"(False, False)",False,False
259252,BB,2022-01-04,,,,"(False, False)",False,False
259253,IN,2022-01-04,,,,"(False, False)",False,False
259254,EG,2022-01-04,,,,"(False, False)",False,False
259255,VN,2022-01-04,,,,"(False, False)",False,False
259256,IN,2022-01-04,,,,"(False, False)",False,False
259257,IN,2022-01-04,,,,"(False, False)",False,False
259258,US,2022-01-04,22749.0,Annual,2022-09-30,"(True, True)",True,True
259259,EG,2022-01-04,,,,"(False, False)",False,False
259260,GB,2022-01-04,15932.0,Annual,2022-01-08,"(True, True)",True,True
259261,NL,2022-01-04,,,,"(False, False)",False,False
259262,US,2022-01-04,15992.0,Annual,2022-01-11,"(True, True)",True,True
259263,NG,2022-01-04,,,,"(False, False)",False,False
259264,NO,2022-01-04,,,,"(False, False)",False,False
259265,IN,2022-01-04,,,,"(False, False)",False,False
259266,EG,2022-01-04,,,,"(False, False)",False,False
259267,GB,2022-01-04,,,,"(False, False)",False,False
259268,SE,2022-01-04,15885.0,Monthly,2022-01-05,"(False, False)",False,False
259269,UZ,2022-01-04,,,,"(False, False)",False,False
259270,IN,2022-01-04,,,,"(False, False)",False,False
259271,NL,2022-01-04,,,,"(False, False)",False,False
259272,AR,2022-01-04,,,,"(False, False)",False,False
259273,US,2022-01-04,15869.0,Monthly,2022-01-04,"(False, False)",False,False
259274,US,2022-01-04,,,,"(False, False)",False,False
259275,BR,2022-01-04,,,,"(False, False)",False,False
259276,US,2022-01-04,,,,"(False, False)",False,False
259277,IE,2022-01-04,,,,"(False, False)",False,False
259278,SA,2022-01-04,,,,"(False, False)",False,False
259279,NG,2022-01-04,,,,"(False, False)",False,False
259280,IN,2022-01-04,,,,"(False, False)",False,False
259282,IE,2022-01-04,,,,"(False, False)",False,False
259283,AU,2022-01-04,16868.0,Monthly,2022-02-09,"(False, False)",False,False
259284,ID,2022-01-04,,,,"(False, False)",False,False
259285,US,2022-01-04,,,,"(False, False)",False,False
259286,IN,2022-01-04,,,,"(False, False)",False,False
259287,US,2022-01-04,,,,"(False, False)",False,False
259288,US,2022-01-04,,,,"(False, False)",False,False
259289,IN,2022-01-04,,,,"(False, False)",False,False
259290,GB,2022-01-04,,,,"(False, False)",False,False
259291,AE,2022-01-04,,,,"(False, False)",False,False
259292,AR,2022-01-04,,,,"(False, False)",False,False
259293,CA,2022-01-04,,,,"(False, False)",False,False
259294,US,2022-01-04,,,,"(False, False)",False,False
259295,US,2022-01-04,,,,"(False, False)",False,False
259296,US,2022-01-05,,,,"(False, False)",False,False
259297,UZ,2022-01-05,,,,"(False, False)",False,False
259298,NG,2022-01-05,,,,"(False, False)",False,False
259299,US,2022-01-05,,,,"(False, False)",False,False
259300,CA,2022-01-05,16492.0,Annual,2022-01-26,"(True, True)",True,True
259301,AR,2022-01-05,,,,"(False, False)",False,False
259302,EG,2022-01-05,,,,"(False, False)",False,False
259303,HN,2022-01-05,,,,"(False, False)",False,False
259304,EG,2022-01-05,,,,"(False, False)",False,False
259305,GB,2022-01-05,16777.0,Monthly,2022-02-06,"(False, False)",False,False
259306,SG,2022-01-05,,,,"(False, False)",False,False
259307,AU,2022-01-05,,,,"(False, False)",False,False
